strategy,pair,params,train_n_trades,train_net_return,train_sharpe,train_profit_factor,train_max_drawdown,train_win_rate,train_cost_ratio,validation_n_trades,validation_net_return,validation_sharpe,validation_profit_factor,validation_max_drawdown,validation_win_rate,validation_cost_ratio
mtf_pullback,USDJPY,"{""rsi_th"": 35, ""tp_atr"": 3.0}",94,0.010479,0.069593,1.039965,-0.048993,0.414894,0.577167,31,-0.063278,-1.282162,0.424349,-0.069722,0.258065,
mtf_pullback,USDJPY,"{""rsi_th"": 40, ""tp_atr"": 2.0}",285,-0.13647,-0.569422,0.805764,-0.171459,0.452632,,96,-0.092545,-1.152045,0.652367,-0.119383,0.395833,
mtf_pullback,USDJPY,"{""rsi_th"": 40, ""tp_atr"": 3.0}",279,-0.11649,-0.395614,0.851664,-0.1475,0.376344,,93,-0.096949,-1.07315,0.666102,-0.121083,0.322581,
mtf_pullback,EURUSD,"{""rsi_th"": 35, ""tp_atr"": 2.0}",90,-0.014181,-0.093875,0.937035,-0.059451,0.488889,,43,0.02066,0.380239,1.223555,-0.01942,0.55814,0.236284
mtf_pullback,EURUSD,"{""rsi_th"": 35, ""tp_atr"": 3.0}",89,-0.002398,-0.004782,0.990718,-0.053286,0.404494,0.99754,43,-0.004984,-0.065318,0.95875,-0.029943,0.418605,2.427496
mtf_pullback,EURUSD,"{""rsi_th"": 40, ""tp_atr"": 2.0}",275,-0.026838,-0.100042,0.959504,-0.113081,0.494545,1.960001,100,-0.092702,-1.151952,0.663632,-0.10836,0.4,
mtf_pullback,EURUSD,"{""rsi_th"": 40, ""tp_atr"": 3.0}",269,-0.057943,-0.191596,0.925095,-0.134996,0.386617,,97,-0.080905,-0.86919,0.727972,-0.093067,0.340206,
mtf_pullback,EURJPY,"{""rsi_th"": 35, ""tp_atr"": 2.0}",97,-0.081922,-0.581643,0.687975,-0.097838,0.412371,,31,-0.026245,-0.531288,0.698541,-0.034106,0.419355,
mtf_pullback,EURJPY,"{""rsi_th"": 35, ""tp_atr"": 3.0}",97,-0.096449,-0.578754,0.678663,-0.134638,0.329897,,31,-0.019495,-0.315002,0.798913,-0.033661,0.354839,
mtf_pullback,EURJPY,"{""rsi_th"": 40, ""tp_atr"": 2.0}",267,-0.157716,-0.678095,0.757024,-0.194413,0.445693,,115,-0.032282,-0.345575,0.890933,-0.071974,0.478261,
mtf_pullback,EURJPY,"{""rsi_th"": 40, ""tp_atr"": 3.0}",261,-0.106862,-0.377294,0.854113,-0.176152,0.37931,,109,-0.009415,-0.072096,0.97104,-0.080918,0.40367,1.117663
mtf_pullback,GBPUSD,"{""rsi_th"": 35, ""tp_atr"": 2.0}",110,0.002341,0.024063,1.008706,-0.067615,0.509091,0.805827,40,-0.06546,-1.321382,0.477141,-0.071612,0.325,
mtf_pullback,GBPUSD,"{""rsi_th"": 35, ""tp_atr"": 3.0}",110,-0.043887,-0.241961,0.868661,-0.083094,0.372727,,40,-0.088671,-1.564984,0.386963,-0.099084,0.225,
mtf_pullback,GBPUSD,"{""rsi_th"": 40, ""tp_atr"": 2.0}",299,-0.125576,-0.529348,0.826421,-0.153009,0.458194,,109,-0.136293,-1.637729,0.568641,-0.14074,0.366972,
mtf_pullback,GBPUSD,"{""rsi_th"": 40, ""tp_atr"": 3.0}",290,-0.115116,-0.402278,0.857003,-0.165312,0.368966,,106,-0.140397,-1.486071,0.589925,-0.158163,0.292453,
mtf_pullback,AUDUSD,"{""rsi_th"": 35, ""tp_atr"": 2.0}",101,0.009144,0.069879,1.037402,-0.042636,0.514851,0.73181,26,-0.07692,-1.793299,0.230841,-0.077025,0.192308,
mtf_pullback,AUDUSD,"{""rsi_th"": 35, ""tp_atr"": 3.0}",101,-0.024365,-0.122071,0.917711,-0.075543,0.386139,13.235538,26,-0.078391,-1.662535,0.25969,-0.078499,0.153846,
mtf_pullback,AUDUSD,"{""rsi_th"": 40, ""tp_atr"": 2.0}",303,-0.009235,-0.020693,0.987169,-0.078288,0.50165,1.103544,104,-0.156248,-1.8215,0.505358,-0.160032,0.346154,
mtf_pullback,AUDUSD,"{""rsi_th"": 40, ""tp_atr"": 3.0}",294,0.138592,0.422574,1.166822,-0.050467,0.442177,0.365136,102,-0.136341,-1.417858,0.59719,-0.144574,0.294118,
ml_logit,USDJPY,"{""horizon"": 12, ""th"": 0.55}",1876,-0.361563,-0.763712,0.889575,-0.392456,0.481876,,331,-0.127176,-1.013067,0.799037,-0.17669,0.462236,
ml_logit,USDJPY,"{""horizon"": 12, ""th"": 0.6}",344,-0.04984,-0.187651,0.927737,-0.126855,0.491279,,9,0.020205,0.872086,3.445487,-0.009005,0.777778,0.039598
ml_logit,EURUSD,"{""horizon"": 12, ""th"": 0.55}",1366,-0.270385,-0.66021,0.879698,-0.335855,0.47511,,587,-0.205011,-1.26359,0.809375,-0.220669,0.459966,
ml_logit,EURUSD,"{""horizon"": 12, ""th"": 0.6}",175,0.004969,0.038425,1.014644,-0.047586,0.491429,0.734808,28,0.007438,0.214736,1.140693,-0.015543,0.535714,0.329037
ml_logit,EURJPY,"{""horizon"": 12, ""th"": 0.55}",1693,-0.393542,-0.921393,0.857257,-0.416637,0.475487,,510,-0.042421,-0.269464,0.951031,-0.095901,0.507843,1.497765
ml_logit,EURJPY,"{""horizon"": 12, ""th"": 0.6}",181,0.02482,0.149811,1.07876,-0.048661,0.519337,0.446157,18,0.032193,1.200857,3.672491,-0.006806,0.777778,0.047751
ml_logit,GBPUSD,"{""horizon"": 12, ""th"": 0.55}",1015,-0.214869,-0.639694,0.870502,-0.231924,0.479803,,427,-0.135232,-1.001457,0.822647,-0.18526,0.454333,
ml_logit,GBPUSD,"{""horizon"": 12, ""th"": 0.6}",139,-0.027704,-0.234127,0.885492,-0.057861,0.496403,,27,-0.037135,-0.903461,0.440509,-0.046039,0.296296,
ml_logit,AUDUSD,"{""horizon"": 12, ""th"": 0.55}",1531,0.075191,0.172168,1.022897,-0.174861,0.506858,0.809064,712,-0.265467,-1.453074,0.796007,-0.270569,0.463483,
ml_logit,AUDUSD,"{""horizon"": 12, ""th"": 0.6}",202,0.040316,0.245215,1.10333,-0.04684,0.514851,0.547188,130,-0.032754,-0.395545,0.871642,-0.063624,0.476923,
ml_lgbm,USDJPY,"{""horizon"": 12, ""th"": 0.55}",2823,-0.151649,-0.206462,0.969142,-0.319767,0.509741,1.444882,1566,-0.438418,-2.004053,0.833462,-0.49039,0.472542,
ml_lgbm,USDJPY,"{""horizon"": 12, ""th"": 0.6}",1285,0.161603,0.345044,1.057439,-0.151216,0.515953,0.525858,620,-0.082957,-0.439642,0.933045,-0.162488,0.491935,2.987954
ml_lgbm,EURUSD,"{""horizon"": 12, ""th"": 0.55}",3011,-0.120864,-0.157112,0.974553,-0.238434,0.505148,1.244441,1755,-0.524477,-2.501301,0.782118,-0.546443,0.451282,
ml_lgbm,EURUSD,"{""horizon"": 12, ""th"": 0.6}",1273,-0.152991,-0.359457,0.929277,-0.205155,0.494108,9.389124,644,-0.244712,-1.491147,0.774933,-0.276633,0.448758,
ml_lgbm,EURJPY,"{""horizon"": 12, ""th"": 0.55}",2837,-0.506685,-1.02471,0.884636,-0.532466,0.484667,,1485,0.259251,0.923857,1.086765,-0.150479,0.53064,0.53546
ml_lgbm,EURJPY,"{""horizon"": 12, ""th"": 0.6}",1070,-0.108742,-0.248896,0.946272,-0.169044,0.488785,2.2625,435,0.052171,0.362065,1.065439,-0.082695,0.533333,0.604315
ml_lgbm,GBPUSD,"{""horizon"": 12, ""th"": 0.55}",2825,-0.332069,-0.602209,0.918161,-0.379874,0.496637,2.978288,1611,-0.315218,-1.286199,0.87477,-0.365337,0.478585,
ml_lgbm,GBPUSD,"{""horizon"": 12, ""th"": 0.6}",1112,-0.098287,-0.224207,0.949982,-0.126717,0.502698,1.618916,489,-0.141294,-0.868667,0.845707,-0.180366,0.478528,
ml_lgbm,AUDUSD,"{""horizon"": 12, ""th"": 0.55}",2823,-0.158835,-0.226682,0.965558,-0.238616,0.497343,1.239886,1723,-0.608602,-3.029861,0.728417,-0.609668,0.448056,
ml_lgbm,AUDUSD,"{""horizon"": 12, ""th"": 0.6}",1110,-0.19293,-0.496559,0.902221,-0.242509,0.48018,2.824842,738,-0.335673,-1.869325,0.738505,-0.353164,0.457995,
