spec_id,event,return,max_drawdown,trades,pnl_jpy
mr_zscore_v1,covid_crash_2020,-0.06254227786056077,-0.0896195292369022,60,-22592.060364987217
mr_zscore_v1,usd_jpy_surge_2022,-0.1553324759609489,-0.1553324759609489,202,-55285.02350757861
mr_zscore_v1,yen_carry_unwind_2024,0.00905472137600083,-0.05623374135010906,43,3616.538419411806
mtf_pullback_v1,EUR_debt_crisis_2011,0.06158250549029298,-0.02130690335701413,46,53921.27145911674
mtf_pullback_v1,abenomics_2012_2013,-0.016525205624442707,-0.0500590255147072,57,-16475.1369463737
mtf_pullback_v1,SNB_shock_2015,0.0020592782370940643,-0.008254135278334518,2,2126.9667204576153
mtf_pullback_v1,brexit_vote_2016,0.007815880534814745,-0.00970273767654739,6,7751.2587028561875
mtf_pullback_v1,covid_crash_2020,-0.0025857499109990245,-0.01921029831383536,13,-2573.7598239255394
mtf_pullback_v1,usd_jpy_surge_2022,0.06058029269817378,-0.0250346991019188,53,47269.17175672985
mtf_pullback_v1,yen_carry_unwind_2024,0.010587629339972482,-0.01212480914195091,8,13810.32980692066
regime_switch_v1,EUR_debt_crisis_2011,-0.0621958371818373,-0.12226408687020573,154,-47822.15867046814
regime_switch_v1,abenomics_2012_2013,0.06271512242531085,-0.06060034587029994,195,53916.877907730945
regime_switch_v1,SNB_shock_2015,0.00723342868121879,-0.008392017056561119,4,-3786.8391097382146
regime_switch_v1,brexit_vote_2016,0.10373120015016424,-0.02387020947006835,17,55152.10654322753
regime_switch_v1,covid_crash_2020,-0.05475173137672196,-0.05642356213697863,35,-22859.076377429
regime_switch_v1,usd_jpy_surge_2022,0.04083587315140602,-0.07934760012447084,209,12732.469016729072
regime_switch_v1,yen_carry_unwind_2024,-0.0035666346593419274,-0.032565472156873,28,615.5701705103193
trend_donchian_v1,EUR_debt_crisis_2011,0.005116852235733882,-0.08645675974897138,54,17683.62140367166
trend_donchian_v1,abenomics_2012_2013,0.11248710418532526,-0.09820433019700614,68,117196.7449774329
trend_donchian_v1,SNB_shock_2015,0.03980390458600369,-0.027403582142690674,5,-18772.068705579903
trend_donchian_v1,brexit_vote_2016,-0.019982068658713326,-0.04829868869476761,9,-24751.223233433895
trend_donchian_v1,covid_crash_2020,-0.008530699442381384,-0.08078633855408324,23,972.9214527673985
trend_donchian_v1,usd_jpy_surge_2022,0.30849877666441805,-0.06908781182257384,57,176223.93779636684
trend_donchian_v1,yen_carry_unwind_2024,0.05425716496342625,-0.07276477156584771,9,57058.48874415736
trend_ema_adx_v1,EUR_debt_crisis_2011,-0.13332684057933408,-0.17671471450947351,147,-135613.83267333437
trend_ema_adx_v1,abenomics_2012_2013,0.04999099526200701,-0.10905360561607846,160,42059.75966578345
trend_ema_adx_v1,SNB_shock_2015,0.011944783996116204,-0.033463870136618,19,-7056.664185925127
trend_ema_adx_v1,brexit_vote_2016,0.01586763492861154,-0.05034911240041895,28,22195.613720453784
trend_ema_adx_v1,covid_crash_2020,0.002722475846832273,-0.06909789266037902,60,-17305.1946946645
trend_ema_adx_v1,usd_jpy_surge_2022,0.03150537017680244,-0.12214856813879649,185,17725.081410066065
trend_ema_adx_v1,yen_carry_unwind_2024,0.014825532337908509,-0.04118389321341376,16,6582.828873501265
trend_tsmom_v1,EUR_debt_crisis_2011,0.03383641867069964,-0.03392296532189443,28,47141.40557474798
trend_tsmom_v1,abenomics_2012_2013,0.06736986626990316,-0.041012611242432495,40,78966.19813812437
trend_tsmom_v1,SNB_shock_2015,0.023507828726733182,-0.0068854019508347575,3,6095.834881232765
trend_tsmom_v1,brexit_vote_2016,0.01114398038477371,-0.0220436389724038,3,-3619.3128278973745
trend_tsmom_v1,covid_crash_2020,-0.05692277159211723,-0.05759332667840611,20,-63151.20258102033
trend_tsmom_v1,usd_jpy_surge_2022,0.06267495540420898,-0.04901664035978626,53,50721.417937469385
trend_tsmom_v1,yen_carry_unwind_2024,0.015085226570603405,-0.024959278758620584,9,34832.213160931904
