strategy,pair,year,chosen_params,train_sharpe,oos_return,oos_sharpe,oos_trades,oos_pf
trend_donchian,EURJPY,2020,"{""n"": 48, ""sl_atr"": 5.0}",0.1457,0.067117,1.519978,79,1.451241
trend_donchian,EURJPY,2021,"{""n"": 48, ""sl_atr"": 5.0}",0.5876,-0.041157,-0.854139,91,0.773942
trend_donchian,GBPUSD,2014,"{""n"": 240, ""sl_atr"": 5.0}",-0.1034,0.004365,0.121711,21,1.252275
trend_donchian,GBPUSD,2015,"{""n"": 240, ""sl_atr"": 5.0}",0.0646,-0.005106,-0.085784,27,1.048272
trend_donchian,GBPUSD,2016,"{""n"": 48, ""sl_atr"": 3.0}",0.3584,0.020374,0.297985,96,1.033813
trend_donchian,GBPUSD,2017,"{""n"": 48, ""sl_atr"": 3.0}",0.4214,-0.098857,-1.449029,93,0.628329
trend_donchian,GBPUSD,2018,"{""n"": 48, ""sl_atr"": 5.0}",0.0974,-0.026929,-0.589935,86,0.790342
trend_donchian,GBPUSD,2019,"{""n"": 120, ""sl_atr"": 3.0}",0.1144,-0.007772,-0.109152,48,0.862684
trend_donchian,GBPUSD,2020,"{""n"": 120, ""sl_atr"": 3.0}",0.06,-0.096239,-1.528514,55,0.523677
trend_donchian,GBPUSD,2021,"{""n"": 48, ""sl_atr"": 5.0}",-0.1593,-0.045197,-1.16919,89,0.699475
trend_donchian,AUDUSD,2014,"{""n"": 240, ""sl_atr"": 5.0}",0.2123,-0.018378,-0.499974,24,0.767776
trend_donchian,AUDUSD,2015,"{""n"": 240, ""sl_atr"": 5.0}",-0.0319,-0.028383,-0.799201,23,0.552902
trend_donchian,AUDUSD,2016,"{""n"": 240, ""sl_atr"": 5.0}",-0.163,-0.042358,-1.178612,25,0.488421
trend_donchian,AUDUSD,2017,"{""n"": 240, ""sl_atr"": 5.0}",-0.4285,0.00525,0.162187,21,1.324155
trend_donchian,AUDUSD,2018,"{""n"": 240, ""sl_atr"": 3.0}",-0.4475,-0.011889,-0.150153,27,0.533684
trend_donchian,AUDUSD,2019,"{""n"": 240, ""sl_atr"": 3.0}",-0.379,-0.009216,-0.083732,32,0.758375
trend_donchian,AUDUSD,2020,"{""n"": 120, ""sl_atr"": 5.0}",-0.1477,-0.026462,-0.539618,48,0.838261
trend_donchian,AUDUSD,2021,"{""n"": 48, ""sl_atr"": 3.0}",0.1449,-0.098388,-1.318905,108,0.673369
trend_tsmom,USDJPY,2014,"{""lookback"": 480, ""z_min"": 0.5}",0.373,-0.001914,-0.039858,20,1.051937
trend_tsmom,USDJPY,2015,"{""lookback"": 480, ""z_min"": 1.0}",0.9421,0.013362,0.738101,6,1.947706
trend_tsmom,USDJPY,2016,"{""lookback"": 480, ""z_min"": 1.0}",1.0618,-0.019563,-0.675266,13,0.513612
trend_tsmom,USDJPY,2017,"{""lookback"": 480, ""z_min"": 1.0}",0.7022,-0.007182,-0.390925,8,0.68734
trend_tsmom,USDJPY,2018,"{""lookback"": 120, ""z_min"": 1.0}",0.5148,-0.032081,-1.512603,17,0.472117
trend_tsmom,USDJPY,2019,"{""lookback"": 480, ""z_min"": 0.5}",0.573,-7.5e-05,0.010855,16,0.87762
trend_tsmom,USDJPY,2020,"{""lookback"": 480, ""z_min"": 0.5}",0.5083,-0.049778,-1.88644,15,0.136392
trend_tsmom,USDJPY,2021,"{""lookback"": 480, ""z_min"": 0.5}",-0.1825,0.010497,0.48173,18,1.251847
trend_tsmom,EURUSD,2014,"{""lookback"": 480, ""z_min"": 0.5}",0.0004,0.003232,0.107792,16,1.719495
trend_tsmom,EURUSD,2015,"{""lookback"": 120, ""z_min"": 0.5}",-0.0605,0.039851,1.120319,23,1.484375
trend_tsmom,EURUSD,2016,"{""lookback"": 120, ""z_min"": 0.5}",0.2734,-0.042247,-1.420045,24,0.444178
trend_tsmom,EURUSD,2017,"{""lookback"": 120, ""z_min"": 0.5}",0.1638,0.037067,1.455536,14,4.183532
trend_tsmom,EURUSD,2018,"{""lookback"": 120, ""z_min"": 0.5}",0.4753,-0.043054,-1.553318,25,0.383539
trend_tsmom,EURUSD,2019,"{""lookback"": 480, ""z_min"": 0.5}",0.1714,-0.008895,-0.313541,14,0.744259
trend_tsmom,EURUSD,2020,"{""lookback"": 480, ""z_min"": 0.5}",0.0338,0.002775,0.122037,22,0.993463
trend_tsmom,EURUSD,2021,"{""lookback"": 480, ""z_min"": 0.5}",0.0482,0.001893,0.039956,17,1.165095
trend_tsmom,EURJPY,2014,"{""lookback"": 480, ""z_min"": 0.5}",0.7742,0.00222,0.104309,14,1.106323
trend_tsmom,EURJPY,2015,"{""lookback"": 480, ""z_min"": 0.5}",0.4663,0.025473,0.844347,17,1.638861
trend_tsmom,EURJPY,2016,"{""lookback"": 480, ""z_min"": 0.5}",0.7979,-0.038663,-1.566669,18,0.363034
trend_tsmom,EURJPY,2017,"{""lookback"": 120, ""z_min"": 1.0}",0.3377,-0.003562,-0.155598,12,0.833964
trend_tsmom,EURJPY,2018,"{""lookback"": 120, ""z_min"": 1.0}",0.4148,-0.014939,-0.744989,13,0.655909
trend_tsmom,EURJPY,2019,"{""lookback"": 120, ""z_min"": 1.0}",0.3149,-0.03056,-1.165294,15,0.294042
trend_tsmom,EURJPY,2020,"{""lookback"": 480, ""z_min"": 1.0}",-0.1603,0.008489,0.366236,7,1.827796
