spec_id,period,variant,cost_profile,halted_at,start,end,years,net_return,cagr,sharpe,sortino,max_drawdown,annual_vol,net_profit_jpy,recovery_factor,n_trades,profit_factor,win_rate,avg_win_jpy,avg_loss_jpy,payoff_ratio,expectancy_jpy,expectancy_r,max_consecutive_losses,trades_per_year,avg_bars_held,total_cost_jpy,swap_jpy,gross_mid_pnl_jpy,cost_ratio,cost_per_trade_jpy,turnover_annual,exposure_time,avg_leverage,max_leverage,psr_vs_zero,t_stat
trend_donchian_v1,TEST,portfolio_stress_2x,stress_2x,2023-01-06 15:00:00+00:00,2022-01-02,2025-06-30,3.49,0.134621,0.036843,0.477899,0.698496,-0.150151,0.086276,134620.553605,0.671541,106,1.407662,0.330189,13281.32879,-4651.069775,2.855543,1270.005223,0.351733,9,30.365882,136.801887,28078.838,-26360.834081,189060.225686,0.148518,264.894698,41.889197,0.275218,1.683846,3.862862,0.813333,0.894067
trend_donchian_v1,TEST,portfolio_ibkr,ibkr,2023-01-06 15:00:00+00:00,2022-01-02,2025-06-30,3.49,0.12847,0.03523,0.456121,0.667596,-0.150893,0.087404,128469.990179,0.640626,103,1.382404,0.330097,13659.523794,-4868.895925,2.805466,1247.281458,0.344071,9,29.506471,141.349515,63232.127372,-17900.475403,209602.592954,0.301676,613.904149,40.728886,0.275218,1.683663,3.871146,0.802602,0.853325
trend_donchian_v1,TEST,USDJPY,retail_jp,,2022-01-02,2025-06-30,3.49,0.133513,0.036553,0.475332,0.679428,-0.119188,0.086066,133512.692659,0.870455,101,1.337628,0.237624,22039.848131,-5135.63198,4.291555,1321.907848,0.288834,15,28.933529,113.881188,12368.5,22598.266245,123282.926415,0.100326,122.460396,59.645217,0.527857,1.036599,2.921646,0.810858,0.889265
trend_donchian_v1,TEST,EURUSD,retail_jp,2024-06-17 13:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.104445,-0.031107,-0.571564,-0.834771,-0.150102,0.052714,-104444.527001,-0.660347,80,0.632066,0.1875,11961.557299,-4367.198254,2.738954,-1305.556588,-0.295381,20,22.917647,97.475,8639.13088,-9340.244375,-86465.151746,,107.989136,55.444577,0.357916,1.132577,2.297062,0.145221,-1.069298
trend_donchian_v1,TEST,EURJPY,retail_jp,,2022-01-02,2025-06-30,3.49,0.002703,0.000773,0.039437,0.058096,-0.099851,0.043423,2702.56265,0.025368,137,1.008493,0.335766,6976.188475,-3496.726453,1.995063,19.726735,0.008325,11,39.246471,106.686131,8885.5,-2270.208479,13858.271128,0.641169,64.857664,41.464866,0.670797,0.534235,1.168867,0.5294,0.073781
trend_donchian_v1,TEST,GBPUSD,retail_jp,,2022-01-02,2025-06-30,3.49,-0.009829,-0.002826,-0.055022,-0.078679,-0.088946,0.038112,-9829.241908,-0.102138,80,0.948716,0.325,6993.588027,-3549.306123,1.97041,-122.865524,-0.023154,9,22.917647,180.8875,7291.275873,-11967.397814,9429.431778,0.773247,91.140948,27.989408,0.664173,0.565453,1.219382,0.459047,-0.102936
trend_donchian_v1,TEST,AUDUSD,retail_jp,2024-04-02 01:00:00+00:00,2022-01-02,2025-06-30,3.49,-0.14645,-0.04435,-0.963435,-1.31262,-0.150667,0.045866,-146450.465126,-0.967214,75,0.428035,0.226667,6446.916039,-4414.621341,1.460355,-1952.672868,-0.443758,10,21.485294,100.506667,14175.992075,-7065.928066,-125208.544985,,189.013228,34.391638,0.346,0.713195,1.352101,0.036735,-1.802421
trend_donchian_v1,FORWARD,portfolio,retail_jp,2025-10-28 00:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.136032,-0.111675,-1.698604,-2.053844,-0.150224,0.068242,-136031.550947,-0.890649,52,0.158152,0.173077,2839.478427,-3757.833879,0.755616,-2615.991364,-0.653162,14,42.113082,67.865385,6821.08796,-1223.976744,-127986.486242,,131.174768,84.388933,0.23065,1.82498,3.463229,0.024223,-1.893245
trend_donchian_v1,FORWARD,portfolio_stress_2x,stress_2x,2025-10-19 22:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.136759,-0.112281,-1.69316,-2.040866,-0.150132,0.06868,-136759.059999,-0.896812,48,0.125028,0.125,3257.003528,-3721.454314,0.875196,-2849.147083,-0.714557,26,38.873614,70.145833,12404.33786,-5608.632796,-118746.089343,,258.423705,77.218654,0.216153,1.874332,3.480944,0.024295,-1.887176
trend_donchian_v1,FORWARD,portfolio_ibkr,ibkr,2025-09-30 07:00:00+00:00,2025-07-01,2026-09-25,1.23,-0.139812,-0.114825,-1.883837,-2.213744,-0.151038,0.063207,-139812.430966,-0.9136,41,0.065256,0.097561,2440.11963,-4042.511067,0.603615,-3410.059292,-0.841113,26,33.204545,68.243902,28340.540308,-3523.896841,-107947.993817,,691.23269,68.348085,0.178359,1.874474,3.442119,0.012828,-2.099703
trend_donchian_v1,FORWARD,USDJPY,retail_jp,,2025-07-01,2026-09-25,1.23,-0.012062,-0.00978,-0.146026,-0.202997,-0.062976,0.060735,-12062.260868,-0.188144,33,0.887046,0.272727,10525.25985,-4449.566647,2.365457,-365.523057,-0.065599,8,26.72561,102.181818,2790.5,11476.491348,-20748.252215,,84.560606,68.19911,0.436448,1.300769,2.965759,0.435444,-0.162759
trend_donchian_v1,FORWARD,EURUSD,retail_jp,,2025-07-01,2026-09-25,1.23,-0.07951,-0.064895,-1.109948,-1.581125,-0.113161,0.058933,-79510.062129,-0.697211,40,0.43784,0.2,7740.828466,-4419.896558,1.75136,-1987.751553,-0.44479,15,32.394678,78.45,5698.21079,-5949.765007,-67862.086333,,142.45527,101.611702,0.406161,1.580149,2.473412,0.113701,-1.237135
trend_donchian_v1,FORWARD,EURJPY,retail_jp,,2025-07-01,2026-09-25,1.23,-0.014582,-0.011826,-0.211971,-0.341508,-0.080593,0.049941,-14582.427488,-0.179496,49,0.870682,0.306122,6545.431631,-3316.585351,1.973545,-297.600561,-0.06876,8,39.683481,108.530612,4590.5,-2813.583589,-7178.343899,,93.683673,68.381792,0.688325,0.870131,1.555571,0.407961,-0.236261
trend_donchian_v1,FORWARD,GBPUSD,retail_jp,,2025-07-01,2026-09-25,1.23,-0.027119,-0.02202,-0.58821,-0.86326,-0.054654,0.034259,-27118.998903,-0.492826,29,0.599572,0.344828,4060.605976,-3564.476772,1.139187,-935.137893,-0.203603,6,23.486142,168.241379,2392.449935,-4390.874292,-20335.674676,,82.498274,34.113307,0.631504,0.668558,1.128703,0.258917,-0.655612
