spec_id,dimension,state,trades,pnl_jpy,win_rate,profit_factor
mtf_pullback_v1,month_dir,DOWN,314,112478.74430813617,0.45222929936305734,1.1474273564334327
mtf_pullback_v1,month_dir,FLAT,901,-572616.1129424467,0.35960044395116536,0.7708733038663148
mtf_pullback_v1,month_dir,UP,391,119442.99282973858,0.4475703324808184,1.1303738475915317
mtf_pullback_v1,month_vol,HIGH_VOL,416,-230800.2626136519,0.3701923076923077,0.7933132382359828
mtf_pullback_v1,month_vol,LOW_VOL,1190,-109894.11319092003,0.4092436974789916,0.9641051741881199
regime_switch_v1,regime4h,HIGH_VOL,34,-13794.705989565542,0.47058823529411764,0.4308438833044704
regime_switch_v1,regime4h,NEUTRAL,152,-96919.5618916807,0.3026315789473684,0.592813115216601
regime_switch_v1,regime4h,RANGE,3393,-583259.1877261329,0.3577954612437371,0.879158792686005
regime_switch_v1,regime4h,TREND,1831,-110838.65807783988,0.3320589841616603,0.9562895260310982
regime_switch_v1,month_dir,DOWN,1069,-82624.97047472844,0.36202057998129095,0.946371037344096
regime_switch_v1,month_dir,FLAT,3096,-698696.6810504848,0.3439922480620155,0.8353932107575912
regime_switch_v1,month_dir,UP,1245,-23490.462160005845,0.3469879518072289,0.9872288954325134
regime_switch_v1,month_vol,HIGH_VOL,1572,-88177.46825407355,0.3657760814249364,0.9575845796387468
regime_switch_v1,month_vol,LOW_VOL,3838,-716634.6454311453,0.3410630536737884,0.8707779721236156
trend_donchian_v1,regime4h,HIGH_VOL,110,5709.278071021744,0.2727272727272727,1.0205032500302158
trend_donchian_v1,regime4h,NEUTRAL,476,157707.4900377845,0.29831932773109243,1.1273563088587635
trend_donchian_v1,regime4h,RANGE,742,-429351.80842462764,0.2601078167115903,0.7862906549635963
trend_donchian_v1,regime4h,TREND,653,-208421.26565220888,0.24042879019908117,0.8892415961163279
trend_donchian_v1,month_dir,DOWN,385,538526.1417668745,0.35844155844155845,1.5960441182963316
trend_donchian_v1,month_dir,FLAT,1186,-2106209.844167397,0.18549747048903878,0.4120331977606328
trend_donchian_v1,month_dir,UP,410,1093327.396432492,0.4,2.185959896843713
trend_donchian_v1,month_vol,HIGH_VOL,573,83884.44364109027,0.28097731239092494,1.0543507079451404
trend_donchian_v1,month_vol,LOW_VOL,1408,-558240.7496091207,0.25639204545454547,0.8555349612199364
trend_ema_adx_v1,regime4h,HIGH_VOL,313,-204964.17335382957,0.2747603833865815,0.6852202674543156
trend_ema_adx_v1,regime4h,NEUTRAL,1140,-11026.237845234624,0.3236842105263158,0.9953762575977311
trend_ema_adx_v1,regime4h,RANGE,2436,21427.05835014381,0.31157635467980294,1.004067922874446
trend_ema_adx_v1,regime4h,TREND,887,-138356.63833232096,0.3111612175873732,0.9255401592214265
trend_ema_adx_v1,month_dir,DOWN,879,637377.5450211742,0.34698521046643915,1.3526674769236102
trend_ema_adx_v1,month_dir,FLAT,2941,-1096328.277737936,0.29853791227473647,0.8253236650101895
trend_ema_adx_v1,month_dir,UP,956,126030.74153552044,0.32112970711297073,1.0606602748614984
trend_ema_adx_v1,month_vol,HIGH_VOL,1511,-395844.10658450413,0.2971542025148908,0.8789074527493096
trend_ema_adx_v1,month_vol,LOW_VOL,3265,62924.115403262695,0.3188361408882083,1.009129551179296
trend_tsmom_v1,regime4h,HIGH_VOL,77,-32498.916788720977,0.36363636363636365,0.8334432061023886
