candidate,is_v2,params,full_n_trades,full_net_return,full_sharpe,full_profit_factor,full_max_drawdown,full_cost_ratio,A_n_trades,A_net_return,A_sharpe,A_profit_factor,A_max_drawdown,A_cost_ratio,B_n_trades,B_net_return,B_sharpe,B_profit_factor,B_max_drawdown,B_cost_ratio
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""none"", ""sizing"": ""risk_stop""}",445,-0.101142,-0.207011,0.856736,-0.198729,,207,-0.049041,-0.20153,0.873279,-0.122784,,114,-0.10499,-0.919988,0.48086,-0.109171,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""none"", ""sizing"": ""vol_target""}",448,-0.342479,-0.224164,0.849388,-0.503509,,205,-0.229622,-0.32026,0.791522,-0.368613,,119,-0.275198,-0.779472,0.555043,-0.287223,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""none"", ""sizing"": ""fixed_notional""}",438,-0.613413,-0.296656,0.801106,-0.680615,,202,-0.416877,-0.443716,0.716628,-0.537984,,116,-0.387743,-0.752063,0.535085,-0.400967,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""trend_only"", ""sizing"": ""risk_stop""}",415,-0.109137,-0.230692,0.834203,-0.174046,,196,-0.052471,-0.218579,0.858123,-0.133488,,96,-0.064132,-0.542594,0.61602,-0.068829,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""trend_only"", ""sizing"": ""vol_target""}",425,-0.402484,-0.300646,0.796779,-0.46758,,195,-0.260535,-0.402725,0.741196,-0.364599,,106,-0.218091,-0.609725,0.595548,-0.232099,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""trend_only"", ""sizing"": ""fixed_notional""}",402,-0.602188,-0.299203,0.77651,-0.673068,,190,-0.34841,-0.347874,0.760265,-0.532385,,95,-0.304591,-0.536205,0.582432,-0.31839,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""no_high_vol"", ""sizing"": ""risk_stop""}",413,-0.072381,-0.148362,0.888327,-0.177502,,198,-0.043538,-0.183737,0.886184,-0.122244,2.746678,100,-0.090926,-0.860883,0.475542,-0.099186,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""no_high_vol"", ""sizing"": ""vol_target""}",415,-0.314219,-0.213545,0.850778,-0.479738,,195,-0.227494,-0.338054,0.770344,-0.364558,,105,-0.261404,-0.819438,0.508788,-0.270318,
v2_d1_donchian,True,"{""n"": 20, ""regime"": ""no_high_vol"", ""sizing"": ""fixed_notional""}",403,-0.521803,-0.237585,0.826517,-0.636513,,192,-0.383261,-0.411657,0.71418,-0.512892,,100,-0.341606,-0.702824,0.532352,-0.361691,
v2_d1_donchian,True,"{""n"": 55, ""regime"": ""none"", ""sizing"": ""risk_stop""}",229,0.002039,0.020414,1.003733,-0.186031,0.14159,98,0.054204,0.200137,1.301698,-0.124551,0.035368,66,-0.077646,-0.589761,0.536245,-0.105077,
